username,tanggal_ulasan,komentar,processed_komentar,Polarity Score,Sentimen
_ Raffi Andrian,2 tahun lalu,"Ada orang pintar pernah mengatakan, ""tak ada yg lebih nikmat dari daging yg segar""",orang pintar yg nikmat daging yg segar,7,Positif
Mellia Savlona,2 tahun lalu,"Pelayanan bagus, makanan enak. 👌 …",layan bagus makan enak,-1,Negatif
Putri S. H,2 tahun lalu,"Mantap, enak dan asik",mantap enak asik,10,Positif
Grace Margareta,2 tahun lalu,"Tempat luas dan bersih, protokol kesehatan terjaga, harga worth dengan makanannya. Menu beragam, parkir mobil dan motor tersedia",luas bersih protokol sehat jaga harga worth makan menu agam parkir mobil motor sedia,17,Positif
Antoni Liem,2 tahun lalu,Lezat & segar,lezat segar,9,Positif
DikShi A'D,2 tahun lalu,Bagus,bagus,-2,Negatif
Yunida Ika,2 tahun lalu,Sangat senang,senang,1,Positif
Dhea Ayu Laksmithasari,2 tahun lalu,"Pas pandemi kesini, tetep prokes 😍 …",pas pandemi kesini tetep prokes,-2,Negatif
Fieha Alfi hani,2 tahun lalu,Still love the vibe of Sushi Tei Jogja. Cuma agak sulit dapat spot Parkir di depan. Bisa parkir di samping tp harus muter dulu krn di portal,still love the vibe of sushi tei jogja sulit spot parkir parkir samping tp muter krn portal,0,Netral
Yudi Rusmanto,2 tahun lalu,Makanannya sangat enak,makan enak,1,Positif
Katarina Laksmi Maharani,2 tahun lalu,Biar mbaknya suka jutek tp gpp makanann enak koqq,biar mbak suka jutek tp gpp makanann enak koqq,-4,Negatif
Rosalia Nidyasari Wuwur,2 tahun lalu,"Pelayanan bagus, makanan enak, kadang ada promo jadi bsa lbh hemat",layan bagus makan enak kadang promo bsa lbh hemat,6,Positif
Amalia Rahma Nurhermaya,2 tahun lalu,baru pertama kali ngerasain sashimi yang nggak bau amis❤️❤️,kali ngerasain sashimi nggak bau amis,-4,Negatif
Siti Afiyah,2 tahun lalu,sushi terdebest deh ini mah. meski ada bbrp menu coba2 yg kurang recomen jg. tp menu2 andalanku dah gaada tandingannya deh,sushi terdebest deh mah bbrp menu coba yg recomen jg tp menu andal dah gaada tanding deh,1,Positif
Yefta Alexander (Yefta Alexander),2 tahun lalu,Nyaman untuk bertemu 👍 …,nyaman temu,6,Positif
Eko Adi,2 tahun lalu,Tempat nyaman tapi sayang pelayananya lama,nyaman sayang pelayananya,4,Positif
Rendra Bhatara,2 tahun lalu,"Mirip dengan gerai Sushi Tei lainnya, tempat ini menawarkan pelayanan yang baik mulai dari area antrian hingga area tempat duduk Anda.
Saya tidak akan mengomentari makanannya karena secara umum tapi relatif oke. …",gerai sushi tei tawar layan area antri area duduk komentar makan relatif oke,-2,Negatif
Ghesa Ririan,2 tahun lalu,"Tempat makan sushi terbaik memang Sushi Tei. Semua menu terjaga kualitasnya, rasanya juga selalu juara, suasana di restonya sangat nyaman, staff ramah dan helpfull. Di Sushei Tei sini juga ada kaitenzushi (sushi dalam piring-piring yang …",makan sushi baik sushi tei menu jaga kualitas juara suasana restonya nyaman staff ramah helpfull sushei tei kaitenzushi sushi piring piring,15,Positif
Klaudius Liasta,2 tahun lalu,"Siapa yang ga tau sushi tei kan ya? Untuk urusan rasa ga beda jauh sama cabang lain. Kenyamanan menurut gue dapet sih, cuma kemarin terakhir gue kesana ada kendala di nunggu makanan yang lama banget. Dan ternyata kejadian sama suka …",ga tau sushi tei ya urus ga beda cabang nyaman gue dapet sih kemarin gue kesana kendala nunggu makan banget jadi suka,5,Positif
Ilham Hanafi,2 tahun lalu,Naisu,naisu,0,Netral
Hazikri Jihaddin,2 tahun lalu,Tempatnya bagus enak makananya,tempat bagus enak makananya,-4,Negatif
retta_san,2 tahun lalu,Seruu bgtt dah makananya enak lagii,seruu bgtt dah makananya enak lagi,-5,Negatif
Fiona Troyandi,2 tahun lalu,Pelayanannya ramah banget,layan ramah banget,1,Positif
charles sunardi,2 tahun lalu,"Ramah, cepat, delicius, and fun.",ramah cepat delicius and fun,2,Positif
Greg Uyanto,2 tahun lalu,Buat kamu yang kenal Sushi Tei dan ingin bersantap di Yogya,kenal sushi tei santap yogya,1,Positif
Nanang Ari,3 tahun lalu,Pelayanan nya profesional 👍 …,layan nya profesional,0,Netral
Supiyo Supiyo,3 tahun lalu,Tempatnya ok banget,tempat ok banget,0,Netral
Edila Purwana,3 tahun lalu,"Saya mau makan siang, menunggu pesanan hampir 2 jam tetapi tidak keluar. Di tanyakan ke pelayan katanya tidak ada masuk order dan dari superviser jg tidak ada tanggung jawab dan kompensasi yg jelas. Pengalaman yg sangat buruk dari pelayanan Sushi Tei Yogyakarta😭😭😭 …",makan siang tunggu pesan jam layan masuk order superviser jg tanggung kompensasi yg alam yg buruk layan sushi tei yogyakarta,-11,Negatif
Arthur Djangoek,3 tahun lalu,Pelayanan sangat buruk. Kami menunggu pesanan hampir 2 jam. Dikonfirmasi ke pihak manajemen katanya malah pesanan tidak tercatat. Tidak ada kompensasi yg jelas dari pihak Sushi Tei.,layan buruk tunggu pesan jam konfirmasi manajemen pesan catat kompensasi yg sushi tei,-5,Negatif
Erland Putry,3 tahun lalu,Enak n asik t4nya,enak n asik tnya,5,Positif
Adrian Wardhana,3 tahun lalu,"Sushi segar dan beraroma serta masakan Jepang lainnya. Diskon sering terjadi, kebersihan tangan dan masker adalah wajib. Tempat duduk diberi jarak. Parkir tersedia di depan toko dan di samping (melibatkan mengelilingi toko untuk mengakses tempat parkir samping). Pintu masuk kursi roda tersedia",sushi segar aroma masakan jepang diskon bersih tangan masker wajib duduk jarak parkir sedia toko samping libat keliling toko akses parkir samping pintu masuk kursi roda sedia,0,Netral
Emmik Kanigara,3 tahun lalu,Satpamnya ramah,satpam ramah,2,Positif
Muhammad Nurdin Arief W,3 tahun lalu,kapal nabi nuh terbaeek,kapal nabi nuh terbaeek,-1,Negatif
muhammad sobikhan,3 tahun lalu,Lumyan lama nunggu,lumyan nunggu,1,Positif
Icha Riska,3 tahun lalu,"Keren, tempatnya strategis dan nyaman.",keren tempat strategis nyaman,1,Positif
Gale Glory (ZephyrDotaGamimg),3 tahun lalu,"Menu baru salmon dengan daging sapi gulung luar biasa, jika saya tahu rasanya saya akan memesannya lebih dari 3",menu salmon daging sapi gulung mes,-3,Negatif
Maulid Ihsan,3 tahun lalu,tempat yang indah untuk berkencan dengan pasangan Anda,indah kencan pasang,4,Positif
Pierre jr,3 tahun lalu,klu cr makanan ala jepang..dsini t4x...mantuuuul fren,klu cr makan ala jepang dsini tx mantuuuul fren,0,Netral
Okti Zulal Rakhmawati,3 tahun lalu,"Tempatnya nyaman... bersih, pelayanannanya juga ramah sabar sama ramah banget... menu-menunya... endesss",tempat nyaman bersih pelayanannanya ramah sabar ramah banget menu menu endesss,9,Positif
Indra Agathon,3 tahun lalu,Rasanya pas dengan harganya,pas harga,6,Positif
Mickhael,3 tahun lalu,Makanan tidak begitu enak dengan layanan buruk.,makan enak layan buruk,-4,Negatif
Jack THE RIPPER,3 tahun lalu,Enak dan nyaman,enak nyaman,5,Positif
citra widyastuti,3 tahun lalu,"Semua jenis sushi nya enak semua. Makanan seafood nya juga enak. Harga standar. Pelayanan ramah
Sering ada promo2",jenis sushi nya enak makan seafood nya enak harga standar layan ramah promo,8,Positif
Sidik Gonder,3 tahun lalu,Tempat dan makananya enak,makananya enak,1,Positif
nomaridha genissa,3 tahun lalu,"Ini masih merupakan tempat terbaik untuk makan sushi seperti yang selalu Anda harapkan dengan harga terjangkau. Tapi entahlah, saya tidak mendapatkan keseruan yang ‘segar’ seperti di awal pembukaannya bertahun-tahun yang lalu.",baik makan sushi harap harga jangkau seru segar buka tahun,9,Positif
Wira,3 tahun lalu,Sushi terbaik di kota dengan bahan-bahan segar,sushi baik kota bahan bahan segar,-1,Negatif
satya tabis,3 tahun lalu,Recomended,recomended,0,Netral
angga,3 tahun lalu,Seperti pada umumnya hanya kurang dingin suhu diruangan,dingin suhu ruang,-1,Negatif
Sufri Yadi,3 tahun lalu,"Tempatnya nyaman menu masakan khas jepang nya masuk banget,bagi kalian yg nyari masakan khas jepang Sushi Tea tempatnya 👍👍 …",tempat nyaman menu masakan khas jepang nya masuk banget yg nyari masakan khas jepang sushi tea tempat,6,Positif
Sang Ahmed,3 tahun lalu,Sushi termantap dijogja.,sushi mantap dijogja,5,Positif
Suhardjono jhon,3 tahun lalu,Lokasi strategis  nyaman untuk keluarga maupun kolege anda..,lokasi strategis nyaman keluarga kolege,5,Positif
Dewi Retno Wulandari,3 tahun lalu,Enakk banget ..buat saya ga awalnya ga gitu suka sushi lsg jatuh cinta ga mau sushi yg lain .,enakk banget ga ga gitu suka sushi lsg jatuh cinta ga sushi yg,1,Positif
Oktaviani SD,3 tahun lalu,Salah satu tempat favorit utk nyushi :),salah favorit utk nyushi,-4,Negatif
Triadi Riswanto,3 tahun lalu,🤩🤩🤩 …,,0,Netral
Shofa R. Haq,3 tahun lalu,"Sasiminya segar, rasa sushinya manis, asam gurih hampir sama seperti sushi yg ada di Hokkaido. Kata sensei saya, kepala chefnya memang nihon jin dibawa dr Jepang. Menurut sy sendiri, sushi tei merupakan sushi terlezat di Jogja. …",sasiminya segar sushinya manis asam gurih sushi yg hokkaido sensei kepala chefnya nihon jin bawa dr jepang sy sushi tei sushi lezat jogja,6,Positif
Iee “IeemaA” MaA,3 tahun lalu,"Tempat strategis, bagus n rapi. Untuk harga minuman mulai 20 ribuan dan harga makanan mulai 30ribuan SD ratusan ribu per porsi",strategis bagus n rapi harga minum ribu harga makan ribu sd ratus ribu porsi,6,Positif
Shafa sny,3 tahun lalu,"3 atau 4x ke sushi tei jogja yaa.. tiap ke jogja pasti di traktir sushi sm my lovely sistur. Lidahku auto jepang2an dah! Pas ke resto jepang lain ga bisa dibandingin ama sutei 🤣 menu favorit selalu mentai moriawase, salmon2an 🤣 jangan lupa nambah mentai nya yak! …",x sushi tei jogja yaa jogja traktir sushi sm my lovely sistur lidah auto jepangan dah pas resto jepang ga dibandingin ama sutei menu favorit mentai moriawase salmon lupa nambah mentai nya yak,-2,Negatif
Indy Dewi,3 tahun lalu,Selalu jadi tempat istimewa untuk moment special,istimewa moment special,4,Positif
Annisa Nuriowandari,3 tahun lalu,"Kedua kalinya ke sini--yg pertama ditraktir, yg kedua sama pacar. Rasa gak pernah mengecewakan. Apalagi harganya, jelas bakal bikin kita kekep dompet 🤣 …",kali yg traktir yg pacar gak kecewa harga bikin kekep dompet,2,Positif
Dekamevia Moerdowo,3 tahun lalu,Rasanya enak sekali. Sushi sangat direkomendasikan👌 …,enak sushi rekomendasi,1,Positif
Agus Subandi,3 tahun lalu,Enak,enak,1,Positif
Uneng Acila,3 tahun lalu,Bagus,bagus,-2,Negatif
Ragil Faiz Kurniawan,3 tahun lalu,"Harga wajar, makanan enak dan pelayanan bagus juga. Saya rasa itulah manfaat yang bisa Anda dapatkan di restoran ini.",harga wajar makan enak layan bagus manfaat dapat restoran,1,Positif
nadya f j,3 tahun lalu,5 bintang mengatakan itu semua,bintang,0,Netral
ririn ambarwati,3 tahun lalu,"Enak, pelayanan ramah cepet, prokesnya juga oke banget.",enak layan ramah cepet prokesnya oke banget,6,Positif
Hesti Agustini,3 tahun lalu,"lampu terlalu redup apa emg tersetting gt ya biar jd ngntuk 😅, pelayananya masih oke sushi tei klp gdg (mon maap mungkin deket rumah), sushinya spt sushi2 tei lainnya gasah diragukan lagi gesss..... …",lampu redup emg tersetting gt ya biar jd ngntuk pelayananya oke sushi tei klp gdg mon maap deket rumah sushinya spt sushi tei gasah ragu gesss,2,Positif
Riana 25,3 tahun lalu,"Pelayanan ramah, makanannya enak, tp saya sedikit kecewa, pesanan saya sudah jd, tp tdk ada pemberitahuan, setelah saya lama menunggu, saya mencoba utk bertanya ke kasir ternyata pesanan itu sdh jd, klo saya tdk tanya dikasir entah saya hrs menunggu brp jam lagi lamanya. Terima kasih",layan ramah makan enak tp kecewa pesan jd tp tdk pemberitahuan tunggu coba utk kasir pesan sdh jd klo tdk kasir hrs tunggu brp jam terima kasih,0,Netral
Dion Manise,3 tahun lalu,Lezaattt.. 👌🏻 …,lezaattt,0,Netral
Dinda K.,3 tahun lalu,"Makanannya enak seperti biasa, satu-satunya hal yang perlu mereka tingkatkan adalah layanannya. Pelayan/pelayan tidak menawarkan untuk mengisi ulang minuman Anda tidak seperti kebanyakan cabang sushi tei. Mereka juga bukan pelayan yang paling sopan..",makan enak satu tingkat layan layan layan tawar isi ulang minum banyak cabang sushi tei layan sopan,-6,Negatif
lukman semedi,3 tahun lalu,Wow,wow,0,Netral
Madi Surah,3 tahun lalu,"Mohon maaf sebelum nya....
Saya ojol ...pernah saya dapat orderan ke resto ini...ketika nunggu pesanan jadi tidak diperkenankan nunggu di dalam. …",mohon maaf nya ojol order resto nunggu pesan kenan nunggu,-1,Negatif
Suwarno Sri Kuncoro,3 tahun lalu,Resto yg top di kota jogja,resto yg top kota jogja,4,Positif
Paundra Hardantio,3 tahun lalu,Aku punya sushi enak di tempat ini dan yang terbaik di kota!,sushi enak baik kota,2,Positif
Antonius Ibnu,3 tahun lalu,Pastinya ..enak dan lezat,pasti enak lezat,9,Positif
RaiN Reytila,3 tahun lalu,Banyak menu baru di Sushi Tei 😍 …,menu sushi tei,0,Netral
ud atexindonesia,3 tahun lalu,"Meskipun hanya ada sedikit restoran sushi, namun mendekati cita rasa Jepang. Sushinya enak, tapi mangkuk nasinya tidak terlalu enak.",restoran sushi dekat cita jepang sushinya enak mangkuk nasi enak,-3,Negatif
Ida Kartikawati,3 tahun lalu,Makanan Jepang terbaik di kota,makan jepang baik kota,1,Positif
Paulus Maria Marindyas T,3 tahun lalu,Besrsih makananya enak,besrsih makananya enak,1,Positif
ananto susetyo,3 tahun lalu,"Ya sesuai dgn harganya, pilihan utk japanese food di Jogja sangat terbatas. Sushi tei termasuk salah satu dari sedikit restauran jepang yg masih bertahan...",ya sesuai dgn harga pilih utk japanese food jogja batas sushi tei salah restauran jepang yg tahan,0,Netral
Intan kumala,3 tahun lalu,Sushi terbaik di Jogja,sushi baik jogja,2,Positif
Andika F nu,3 tahun lalu,Tempat sushi yang wajib dikunjungi di kota. Bernilai setiap sen.,sushi wajib kunjung kota nila sen,-1,Negatif
Dicha Fitra Rafinda,3 tahun lalu,Absolutely enak. Pelayanan oke. Ada tempat solat. Meja berjarak.,absolutely enak layan oke solat meja jarak,4,Positif
Nunung Shelyanto,3 tahun lalu,👍👍👍 …,,0,Netral
Muhammad Pramudi Anto,3 tahun lalu,Oishiiii,oishiiii,0,Netral
de Bepeh,3 tahun lalu,Nagi pecinta masakan jepang. Di sini tempat nya. Dengan berbagai macam varian makanan jepang yg sangat lezat. Bagi yg suka selera tinggi.di sini tempat.,nagi cinta masakan jepang nya varian makan jepang yg lezat yg suka selera,14,Positif
afiya nabila,3 tahun lalu,Sushi terbaik di jogja,sushi baik jogja,2,Positif
Jefta Willy Setiady,3 tahun lalu,Service take away cepat dan dapat diskon,service take away cepat diskon,2,Positif
Yulinda Rahmandika D,3 tahun lalu,"sushi paling enak buat saya di jogja, mentainya ga ada tandingan",sushi enak jogja mentainya ga tanding,3,Positif
Putri Zahra,3 tahun lalu,Mantap,mantap,5,Positif
Yeni Setiawan,3 tahun lalu,Sushi terbaik di kota.,sushi baik kota,1,Positif
Nanang Klaten,3 tahun lalu,Mnyenangkan,mnyenangkan,0,Netral
onwin hetharie,3 tahun lalu,"Makanannya bersih, enak dan sehat",makan bersih enak sehat,4,Positif
Pury Kun,3 tahun lalu,oishiii souu,oishiii souu,0,Netral
Lie Resha,3 tahun lalu,"tidak hanya menyediakan sushi, tp juga banyak macam makanan jepang.
sayang saat makan daging ikan, beberapa masih terdapat duri sehingga mengganggu kenyamanan saat makan.",sedia sushi tp makan jepang sayang makan daging ikan duri ganggu nyaman makan,-2,Negatif
Icha Saleh,3 tahun lalu,"Enak, tapi buat sesekali aja. Kalo pengen makanan jepang dengan harga $$$$ dan enak disini sih tempatnya.
Tapi kalo lagi laper jangan",enak aja kalo ken makan jepang harga enak sih tempat kalo laper,1,Positif
Karina Karina,3 tahun lalu,"Tempat makan sushi yang paling tersohor. saus mentainya emang terbaik sih, untuk pelayanan dan tempat makannya gausa ditanya lagi, ok dan nyaman. harganya bisa dilihat sendiri di sosial medianya sushi tei jogja.",makan sushi sohor saus mentainya emang baik sih layan makan gausa ok nyaman harga sosial media sushi tei jogja,17,Positif
rendy isworo,3 tahun lalu,"Pelayanan kasir kurang ramah, td sore pesen take away.

Mungkin krn penampilan sy pake kaos, topi, sandal jepit, celana pendek dsb. …",layan kasir ramah td sore sen take away krn tampil sy pake kaos topi sandal jepit celana pendek dsb,-9,Negatif
Ardi Prasetyo,3 tahun lalu,"Bersih nyaman enak. Sedikit kecewa jauh2 dr Temanggung, liat di IG close jam 8, sampe lokasi jam set 7 kurang tp diinfo satpam close order jam 7",bersih nyaman enak kecewa dr tanggung liat ig close jam sampe lokasi jam set tp info satpam close order jam,-3,Negatif
Roni harjanto,3 tahun lalu,Tempat nya nyaman,nya nyaman,4,Positif
gaby aine,3 tahun lalu,"Salah satu outlet sushi yg gausah masuk mall, jadi enak",salah outlet sushi yg gausah masuk mall enak,-10,Negatif
Putra Madiun,3 tahun lalu,makanan dan minuman nya menyehatkan dan suegarrrr guys 👍🏻 …,makan minum nya sehat suegarrrr guys,1,Positif
OKi Ritawati Sodikun Kromowijoyo,3 tahun lalu,"Rasa kelas atas, harga menengah cenderung murah. Recommended banget, jangan ragu deh.",kelas harga tengah cenderung murah recommended banget ragu deh,-3,Negatif
siphe 67,3 tahun lalu,Salmonnya mantap,salmon mantap,5,Positif
Reza Nova Cahyono,3 tahun lalu,"Salmon, Salad, Sushi semuanya Segar, Renyah dan Lezat. Satu hal yang sedikit lebih tinggi dibandingkan toko sushi lokal.",salmon salad sushi segar renyah lezat banding toko sushi lokal,9,Positif
Agus Sukma,3 tahun lalu,Nyaman tempatnya,nyaman tempat,1,Positif
Bellino Chirurgo,3 tahun lalu,Kuliner Jepang yang selalu terjaga cita rasanya. Staf pramusaji ramah dan selalu siap membantu Anda. Protokol kesehatan diterapkan dengan baik di restoran ini.,kuliner jepang jaga cita staf pramusaji ramah bantu protokol sehat terap restoran,-1,Negatif
star alekha,3 tahun lalu,Masa pandemi jd dibatasin waktu makannya 😁 tp keseluruhan enak makanannya kt org Jawa ono rego ono roso …,pandemi jd dibatasin makan tp enak makan kt org jawa ono rego ono roso,-4,Negatif
Slamet Basuki Rachmat,3 tahun lalu,penggemar sushi wajib kesini,gemar sushi wajib kesini,2,Positif
Dian Widayanti,3 tahun lalu,Rata-rata..dibandingkan dengan tempat lain yang saya kunjungi di kota-kota besar..tetapi di yogya dianggap yang terbaik..jika ada tempat sashimi yang lebih baik saya akan pergi ke tempat itu.. tetapi saya tidak punya pilihan dan saya suka sashimi jadi saya pergi ke tempat ini,banding kunjung kota kota yogya anggap baik sashimi pergi pilih suka sashimi pergi,-4,Negatif
Shavira Alif kenzhie,3 tahun lalu,Favorit bgt!!!! Enak bgt!!!!,favorit bgt enak bgt,1,Positif
Ahmad Zaki,3 tahun lalu,Sesuai. Itu rego lubang itu,sesuai rego lubang,0,Netral
Deta,3 tahun lalu,Enak,enak,1,Positif
JJ KWON,3 tahun lalu,"Rasanya enak bersih dan enak, banyak menunggu tapi tetap 15 - 20 menit oke.",enak bersih enak tunggu menit oke,3,Positif
Joshua B'joes,3 tahun lalu,Sempurna,sempurna,0,Netral
R A,3 tahun lalu,enak nagih,enak nagih,1,Positif
luna bella,3 tahun lalu,"Pemesanan hanya take away dan online, btw cepet pelayannannya meskipun antrinya banyak👍👍 …",mesan take away online btw cepet pelayannannya antri,2,Positif
Pipin “Pippintz” Pinasthi,3 tahun lalu,Sushi andalan se jogja. Sayang PPKM cuma bisa take away. Klo kesni pas hari H ulang tahun.bakal dapat sushi gratis,sushi andal jogja sayang ppkm take away klo kesni pas h ulang sushi gratis,11,Positif
Tri Joko Pitoyo,3 tahun lalu,Mantab,mantab,0,Netral
Vincent Na,3 tahun lalu,Makanan yang sangat lezat. Tempat mewah. Staf yang ramah. Area parkir luas.,makan lezat mewah staf ramah area parkir luas,11,Positif
Heri Turner,3 tahun lalu,"Pas PPKM bisa pesen via WA, ambil dilokasi pas udah siap. System drive thru yang mendukung prokes. Good.",pas ppkm sen via wa ambil lokasi pas udah system drive thru dukung prokes good,10,Positif
Jallu Gembong,3 tahun lalu,Di handle sama orang-orang profesional dan rasanya otentik,handle orang orang profesional otentik,3,Positif
Eko Sulistio,3 tahun lalu,"Satu jam nunggu, saya tanya kasir pesanan saya sudah jadi belum, dibilang belum, ternyata sudah jadi lama ditaruh dibelakang kasir, Ya Allah, nunggu lama sia sia",jam nunggu kasir pesan bilang taruh belakang kasir ya allah nunggu sia sia,4,Positif
dwi yuniharto,3 tahun lalu,Eunak sekali brooo,eunak brooo,0,Netral
Maria Zulfikar,3 tahun lalu,"Staf yang ramah, anak-anak juga ramah dan sushi luar biasa",staf ramah anak anak ramah sushi,-2,Negatif
Daru Raharjo,3 tahun lalu,"garis yang sangat panjang, tapi tidak apa-apa. Ini bukan nasi goreng",garis nasi goreng,-2,Negatif
Sintha Rh,3 tahun lalu,Tempat sushi terbaik di Jogja,sushi baik jogja,2,Positif
Ecko Conda,3 tahun lalu,Hight class n keren,hight class n keren,0,Netral
Ghina Musthafa,3 tahun lalu,"Biasanya pergi ke tempat makan sushi. Karena pembatasan sosial saat ini, makan di tempat tidak diperbolehkan. Hanya ambil/ambil dan antar. Saya mencoba opsi penjemputan, stafnya ramah dan responsnya cepat, pesanan saya selesai tepat waktu.",pergi makan sushi batas sosial makan boleh ambil ambil coba opsi jemput staf ramah respons cepat pesan selesai,-6,Negatif
Ade Pratama,3 tahun lalu,"Pegawai tidak ramah, saya beli minuman bukan mau minta",pegawai ramah beli minum,1,Positif
Vigi Verindo,3 tahun lalu,sepertinya pelanggan online saya suka jajan disini namun jarak yang ditempuh jauh-jauh 😂 …,langgan online suka jajan jarak tempuh,4,Positif
Aji Danang,3 tahun lalu,Karyawan yg anter2 kek taiiii,karyawan yg anter kek taiiii,3,Positif
Ign David,3 tahun lalu,Jepang sekali,jepang,0,Netral
Berbudi Putro,3 tahun lalu,"Tempat nyaman, tapi tidak untuk ojol yang membelikan makanan untuk customer nya",nyaman ojol beli makan customer nya,3,Positif
Andri Anto,3 tahun lalu,sushi,sushi,0,Netral
Kaka Wardhana,3 tahun lalu,Enak semua. Titik.,enak titik,-2,Negatif
ahmad waskitho aji,3 tahun lalu,Nyoshhh sekaliii sweeedapppp,nyoshhh sekaliii sweeedapppp,0,Netral
ray WM,3 tahun lalu,Enak2👍 …,enak,1,Positif
Jovinca Claudia (Vinca),3 tahun lalu,Best place to get sushi in the whole town. Pelayanan nya sangat baik dan ramah. Sushi nya juga enak dand fresh banget. Emang agak pricy tapi overall tempat terbaik and plg worth it buat makan sushi!,best place to get sushi in the whole town layan nya ramah sushi nya enak dand fresh banget emang pricy overall baik and plg worth it makan sushi,2,Positif
JAS Time (ayum),3 tahun lalu,"Ppkm 2 , pelayanan terbaru dari sushi tei
Pick up parking point , tidak perlu turun mobil , pesan via WhatsApp , bayar bisa transfer/cash, waktu pengambilan ditentukan sendiri …",ppkm layan baru sushi tei pick up parking point turun mobil pesan via whatsapp bayar transfer cash ambil tentu,-10,Negatif
MR. BROWN,3 tahun lalu,Ruang tgg gojek sangatlah nyaman,ruang tgg gojek nyaman,1,Positif
Trindo Junaedy,3 tahun lalu,Biasa aja,aja,1,Positif
Julius Bagas Triatmoko,3 tahun lalu,Tempat makan sushi favorit!,makan sushi favorit,0,Netral
JK,3 tahun lalu,Sushi paling segar di kota,sushi segar kota,3,Positif
Elisabeth Y,3 tahun lalu,Tempat favorite. Pilihan sushie bnyak,favorite pilih sushie bnyak,2,Positif
Om kim,3 tahun lalu,Tempat yg nyaman....  Banyak pilihan yg suka sushi,yg nyaman pilih yg suka sushi,4,Positif
Yohanes Rama (Rama),3 tahun lalu,sashimi terbaik yang pernah saya alami,sashimi baik alami,-1,Negatif
Feb tube,3 tahun lalu,Tidak memanusiakan driver ojol.. parah...,manusia driver ojol parah,-2,Negatif
Diana Rahmawati Hanafi,3 tahun lalu,Tidak menikmati karena tidak suka sushi,nikmat suka sushi,5,Positif
Ruddy Manasse,3 tahun lalu,Enak,enak,1,Positif
Shavira Novi Safitri,3 tahun lalu,Tempat favorit makan sushi,favorit makan sushi,0,Netral
Anggun Dwi Marcella,3 tahun lalu,"Enak di ruang VIP lumayan sepi, pokoknya sblm masuk jgn lupa cuci tgn dan cek suhu, wajib yaa!! Saling respect jaga satu sama lain dengan costumer juga pelayan disana. Then, untuk main coursenya lengkap dan enak² semua kok!, tapi.. aku …",enak ruang vip lumayan sepi pokok sblm masuk jgn lupa cuci tgn cek suhu wajib yaa respect jaga costumer layan sana then main coursenya lengkap enak,-18,Negatif
Ardi Satya,3 tahun lalu,"Sushinya enak bgt
Pelayanannya bener bener ramah
Tempatnya bersih …",sushinya enak bgt layan bener bener ramah tempat bersih,4,Positif
Ahmad Ismail Hamdani,3 tahun lalu,Sajian Japanese food yang lengkap mantabs dan recomended untuk dinner bersama keluarga & relasi ...,saji japanese food lengkap mantabs recomended dinner keluarga relasi,3,Positif
endah wahyu,3 tahun lalu,Sushi terenak menurut saya,sushi enak,1,Positif
Ida Dewi Riyani,3 tahun lalu,Selalu enak,enak,1,Positif
Yudo Krisnawan,3 tahun lalu,Oke,oke,2,Positif
Antonius Gunawan Wibisono,3 tahun lalu,Enak murah,enak murah,2,Positif
Muhammad Yusuf musabbiq,3 tahun lalu,"Suasana yang menyenangkan, cobalah sekali saja dan mungkin tidak akan pernah kembali lagi",suasana senang coba,6,Positif
Anton Partono,3 tahun lalu,Bagus,bagus,-2,Negatif
Mas Dwi,3 tahun lalu,Mantappp....,mantappp,0,Netral
HENNY EKO ATMOJO,3 tahun lalu,"Salah 1 resto fav anak2 ...selalu Fresh .

Bisa reservasi minimal utk 6pax .",salah resto fav anak fresh reservasi minimal utk pax,-7,Negatif
Abdul_azis Syaf,3 tahun lalu,Makanan khas Jepang dengan rasa tidak aneh dilidah kita,makan khas jepang aneh lidah,4,Positif
Bella Na,3 tahun lalu,Tempat favorit makan sushi di jogjaa. Walopun sushitei ada dmn2 tp tetep paling cocok seleranya ya disinii,favorit makan sushi jogjaa walopun sushitei dmn tp tetep cocok selera ya sini,8,Positif
Shobi Khan,3 tahun lalu,Sushi dan kare yang lezat.. sepadan!,sushi kare lezat padan,5,Positif
Stella Novian,3 tahun lalu,"Rasa makanan sesuai harga dan ga mengecewakan pol.. mau makanan menu ada, yg muter-muter juga ada.. tempatnya bersih pol, nuansa nya enak banget. Rame tempatnyaa..klu bisa reservasi dulu lebih enak sih .. pelayanannya juga oke banget. Pokoke joss",makan sesuai harga ga kecewa pol makan menu yg muter muter tempat bersih pol nuansa nya enak banget rame tempatnyaa klu reservasi enak sih layan oke banget pokoke joss,-1,Negatif
Amarendra Padmatantri,3 tahun lalu,sushinya enak dan nyaman tempatnnya,sushinya enak nyaman tempatnnya,5,Positif
Yuni Fatmawati,3 tahun lalu,Pelayannya matep sih. Makananya seperti sushi tei pada umumnya juga,layan matep sih makananya sushi tei,0,Netral
Khaerul Anam,3 tahun lalu,"Salah satu restoran sushi terbaik di Yogya.
Varian sushinya sangat beragam dan rasanya sangat terjamin, orang yang tidak suka sushi ke sini jadi doyan sushi :D …",salah restoran sushi baik yogya varian sushinya agam jamin orang suka sushi doyan sushi d,-5,Negatif
Adjie Dewa,3 tahun lalu,"Tempatnya enak, makanannya enak, harga menengah atas",tempat enak makan enak harga tengah,4,Positif
