username,tanggal_ulasan,komentar
Arthur Djangoek,3 tahun lalu,Pelayanan sangat buruk. Kami menunggu pesanan hampir 2 jam. Dikonfirmasi ke pihak manajemen katanya malah pesanan tidak tercatat. Tidak ada kompensasi yg jelas dari pihak Sushi Tei.
N Hasti Lumenta,3 tahun lalu,
Michael Andrian,3 tahun lalu,
Erland Putry,3 tahun lalu,Enak n asik t4nya
Dimas Irfan,3 tahun lalu,
Enggar Bayu Aji,3 tahun lalu,
Adrian Wardhana,3 tahun lalu,"Sushi segar dan beraroma serta masakan Jepang lainnya. Diskon sering terjadi, kebersihan tangan dan masker adalah wajib. Tempat duduk diberi jarak. Parkir tersedia di depan toko dan di samping (melibatkan mengelilingi toko untuk mengakses tempat parkir samping). Pintu masuk kursi roda tersedia"
Maria Koka,3 tahun lalu,
Emmik Kanigara,3 tahun lalu,Satpamnya ramah
Muhammad Nurdin Arief W,3 tahun lalu,kapal nabi nuh terbaeek
muhammad sobikhan,3 tahun lalu,Lumyan lama nunggu
Reghinadh,3 tahun lalu,
Icha Riska,3 tahun lalu,"Keren, tempatnya strategis dan nyaman."
Meutia Bestannisa W,3 tahun lalu,
Gale Glory (ZephyrDotaGamimg),3 tahun lalu,"Menu baru salmon dengan daging sapi gulung luar biasa, jika saya tahu rasanya saya akan memesannya lebih dari 3"
Maulid Ihsan,3 tahun lalu,tempat yang indah untuk berkencan dengan pasangan Anda
Kevin Pratama Loa,3 tahun lalu,
Pemi Suprihatin,3 tahun lalu,
Suprapto Megantara,3 tahun lalu,
Eko Adi,3 tahun lalu,
Pierre jr,3 tahun lalu,klu cr makanan ala jepang..dsini t4x...mantuuuul fren
Okti Zulal Rakhmawati,3 tahun lalu,"Tempatnya nyaman... bersih, pelayanannanya juga ramah sabar sama ramah banget... menu-menunya... endesss"
Indra Agathon,3 tahun lalu,Rasanya pas dengan harganya
Alan Darmasaputra,3 tahun lalu,
Farida “Prima” Sunar Primastuti,3 tahun lalu,
Mickhael,3 tahun lalu,Makanan tidak begitu enak dengan layanan buruk.
L Koei,3 tahun lalu,
Jack THE RIPPER,3 tahun lalu,Enak dan nyaman
Adhiyaksa Pratama putra,3 tahun lalu,
citra widyastuti,3 tahun lalu,"Semua jenis sushi nya enak semua. Makanan seafood nya juga enak. Harga standar. Pelayanan ramah
Sering ada promo2"
Friska Unandy,3 tahun lalu,
Sidik Gonder,3 tahun lalu,Tempat dan makananya enak
nomaridha genissa,3 tahun lalu,"Ini masih merupakan tempat terbaik untuk makan sushi seperti yang selalu Anda harapkan dengan harga terjangkau. Tapi entahlah, saya tidak mendapatkan keseruan yang ‘segar’ seperti di awal pembukaannya bertahun-tahun yang lalu."
Isti Nadzariel,3 tahun lalu,
Wira,3 tahun lalu,Sushi terbaik di kota dengan bahan-bahan segar
Setiawan Nadlan,3 tahun lalu,
satya tabis,3 tahun lalu,Recomended
angga,3 tahun lalu,Seperti pada umumnya hanya kurang dingin suhu diruangan
Sufri Yadi,3 tahun lalu,"Tempatnya nyaman menu masakan khas jepang nya masuk banget,bagi kalian yg nyari masakan khas jepang Sushi Tea tempatnya 👍👍 …"
Anita Patricia Widodo,3 tahun lalu,
Sang Ahmed,3 tahun lalu,Sushi termantap dijogja.
Tholib Tilop,3 tahun lalu,
Suhardjono jhon,3 tahun lalu,Lokasi strategis  nyaman untuk keluarga maupun kolege anda..
Dewi Retno Wulandari,3 tahun lalu,Enakk banget ..buat saya ga awalnya ga gitu suka sushi lsg jatuh cinta ga mau sushi yg lain .
Oktaviani SD,3 tahun lalu,Salah satu tempat favorit utk nyushi :)
leedwin alison,3 tahun lalu,
Triadi Riswanto,3 tahun lalu,🤩🤩🤩 …
Shofa R. Haq,3 tahun lalu,"Sasiminya segar, rasa sushinya manis, asam gurih hampir sama seperti sushi yg ada di Hokkaido. Kata sensei saya, kepala chefnya memang nihon jin dibawa dr Jepang. Menurut sy sendiri, sushi tei merupakan sushi terlezat di Jogja. …"
Iee “IeemaA” MaA,3 tahun lalu,"Tempat strategis, bagus n rapi. Untuk harga minuman mulai 20 ribuan dan harga makanan mulai 30ribuan SD ratusan ribu per porsi"
Shafa sny,3 tahun lalu,"3 atau 4x ke sushi tei jogja yaa.. tiap ke jogja pasti di traktir sushi sm my lovely sistur. Lidahku auto jepang2an dah! Pas ke resto jepang lain ga bisa dibandingin ama sutei 🤣 menu favorit selalu mentai moriawase, salmon2an 🤣 jangan lupa nambah mentai nya yak! …"
A Bal,3 tahun lalu,
Sri Gieta,3 tahun lalu,
Alinda Rachmayani Permana,3 tahun lalu,
Bayu Yudhasena,3 tahun lalu,
Fuad Arif Fudiyartanto,3 tahun lalu,
iis isnaeni nurwanty,3 tahun lalu,
Indy Dewi,3 tahun lalu,Selalu jadi tempat istimewa untuk moment special
Rasdiawan Sonda,3 tahun lalu,
Annisa Nuriowandari,3 tahun lalu,"Kedua kalinya ke sini--yg pertama ditraktir, yg kedua sama pacar. Rasa gak pernah mengecewakan. Apalagi harganya, jelas bakal bikin kita kekep dompet 🤣 …"
Miftakhul Hudha,3 tahun lalu,
Dekamevia Moerdowo,3 tahun lalu,Rasanya enak sekali. Sushi sangat direkomendasikan👌 …
Agus Subandi,3 tahun lalu,Enak
Uneng Acila,3 tahun lalu,Bagus
Ragil Faiz Kurniawan,3 tahun lalu,"Harga wajar, makanan enak dan pelayanan bagus juga. Saya rasa itulah manfaat yang bisa Anda dapatkan di restoran ini."
nadya f j,3 tahun lalu,5 bintang mengatakan itu semua
Tintin Kusumawati,3 tahun lalu,
Reni Latifah,3 tahun lalu,
Nang Priyadi,3 tahun lalu,
nadya agatha,3 tahun lalu,
ririn ambarwati,3 tahun lalu,"Enak, pelayanan ramah cepet, prokesnya juga oke banget."
Hesti Agustini,3 tahun lalu,"lampu terlalu redup apa emg tersetting gt ya biar jd ngntuk 😅, pelayananya masih oke sushi tei klp gdg (mon maap mungkin deket rumah), sushinya spt sushi2 tei lainnya gasah diragukan lagi gesss..... …"
naufal hijri,3 tahun lalu,
Danto Pranoto,3 tahun lalu,
Riana 25,3 tahun lalu,"Pelayanan ramah, makanannya enak, tp saya sedikit kecewa, pesanan saya sudah jd, tp tdk ada pemberitahuan, setelah saya lama menunggu, saya mencoba utk bertanya ke kasir ternyata pesanan itu sdh jd, klo saya tdk tanya dikasir entah saya hrs menunggu brp jam lagi lamanya. Terima kasih"
Dion Manise,3 tahun lalu,Lezaattt.. 👌🏻 …
Luthfi Ruhama,3 tahun lalu,
Dinda K.,3 tahun lalu,"Makanannya enak seperti biasa, satu-satunya hal yang perlu mereka tingkatkan adalah layanannya. Pelayan/pelayan tidak menawarkan untuk mengisi ulang minuman Anda tidak seperti kebanyakan cabang sushi tei. Mereka juga bukan pelayan yang paling sopan.."
Maria Anggraini,3 tahun lalu,
Rahadian Tikie,3 tahun lalu,
okta vian,3 tahun lalu,
Mar Jono,3 tahun lalu,
lukman semedi,3 tahun lalu,Wow
Madi Surah,3 tahun lalu,"Mohon maaf sebelum nya....
Saya ojol ...pernah saya dapat orderan ke resto ini...ketika nunggu pesanan jadi tidak diperkenankan nunggu di dalam. …"
Mira DEWANTO,3 tahun lalu,
Danang Sutawijaya,3 tahun lalu,
Suwarno Sri Kuncoro,3 tahun lalu,Resto yg top di kota jogja
eny malikhah,3 tahun lalu,
Faiz Firmansyah,3 tahun lalu,
Paundra Hardantio,3 tahun lalu,Aku punya sushi enak di tempat ini dan yang terbaik di kota!
Sri Hastuti,3 tahun lalu,
Antonius Ibnu,3 tahun lalu,Pastinya ..enak dan lezat
RaiN Reytila,3 tahun lalu,Banyak menu baru di Sushi Tei 😍 …
Eyang Kodok,3 tahun lalu,
ud atexindonesia,3 tahun lalu,"Meskipun hanya ada sedikit restoran sushi, namun mendekati cita rasa Jepang. Sushinya enak, tapi mangkuk nasinya tidak terlalu enak."
Ida Kartikawati,3 tahun lalu,Makanan Jepang terbaik di kota
Seany Sulawati,3 tahun lalu,
Kelik Kenstrong,3 tahun lalu,
maf lahah,3 tahun lalu,
megie,3 tahun lalu,
Paulus Maria Marindyas T,3 tahun lalu,Besrsih makananya enak
Randi Ardanto,3 tahun lalu,
Maxmiliano D,3 tahun lalu,
ananto susetyo,3 tahun lalu,"Ya sesuai dgn harganya, pilihan utk japanese food di Jogja sangat terbatas. Sushi tei termasuk salah satu dari sedikit restauran jepang yg masih bertahan..."
Intan kumala,3 tahun lalu,Sushi terbaik di Jogja
Andika F nu,3 tahun lalu,Tempat sushi yang wajib dikunjungi di kota. Bernilai setiap sen.
Alvin Adiannoor,3 tahun lalu,
Dicha Fitra Rafinda,3 tahun lalu,Absolutely enak. Pelayanan oke. Ada tempat solat. Meja berjarak.
Dona Sianly,3 tahun lalu,
Ry 167,3 tahun lalu,
Anandayu Irawati,3 tahun lalu,
Nunung Shelyanto,3 tahun lalu,👍👍👍 …
alef cahyadi jatmiko,3 tahun lalu,
Muhammad Pramudi Anto,3 tahun lalu,Oishiiii
de Bepeh,3 tahun lalu,Nagi pecinta masakan jepang. Di sini tempat nya. Dengan berbagai macam varian makanan jepang yg sangat lezat. Bagi yg suka selera tinggi.di sini tempat.
afiya nabila,3 tahun lalu,Sushi terbaik di jogja
Arnest S,3 tahun lalu,
Gustav Valentino,3 tahun lalu,
Zhangga Widianata,3 tahun lalu,
Jefta Willy Setiady,3 tahun lalu,Service take away cepat dan dapat diskon
Yulinda Rahmandika D,3 tahun lalu,"sushi paling enak buat saya di jogja, mentainya ga ada tandingan"
Amelda Parizmi,3 tahun lalu,
edhi setiawan,3 tahun lalu,
felicia stella,3 tahun lalu,
Putri Zahra,3 tahun lalu,Mantap
Wilanisa Amilia,3 tahun lalu,
sabina rarasati,3 tahun lalu,
Elizabeth Grace,3 tahun lalu,
Yeni Setiawan,3 tahun lalu,Sushi terbaik di kota.
Nanang Klaten,3 tahun lalu,Mnyenangkan
Dimas Beckampung,3 tahun lalu,
onwin hetharie,3 tahun lalu,"Makanannya bersih, enak dan sehat"
Ummu Zakiyyah,3 tahun lalu,
Pury Kun,3 tahun lalu,oishiii souu
Lie Resha,3 tahun lalu,"tidak hanya menyediakan sushi, tp juga banyak macam makanan jepang.
sayang saat makan daging ikan, beberapa masih terdapat duri sehingga mengganggu kenyamanan saat makan."
Saam Maulana,3 tahun lalu,
Vijay Roy Savendra,3 tahun lalu,
Hero Agravo,3 tahun lalu,
Icha Saleh,3 tahun lalu,"Enak, tapi buat sesekali aja. Kalo pengen makanan jepang dengan harga $$$$ dan enak disini sih tempatnya.
Tapi kalo lagi laper jangan"
Claudia Ella P,3 tahun lalu,
Karina Karina,3 tahun lalu,"Tempat makan sushi yang paling tersohor. saus mentainya emang terbaik sih, untuk pelayanan dan tempat makannya gausa ditanya lagi, ok dan nyaman. harganya bisa dilihat sendiri di sosial medianya sushi tei jogja."
rendy isworo,3 tahun lalu,"Pelayanan kasir kurang ramah, td sore pesen take away.

Mungkin krn penampilan sy pake kaos, topi, sandal jepit, celana pendek dsb. …"
Afina Emas,3 tahun lalu,
Ardi Prasetyo,3 tahun lalu,"Bersih nyaman enak. Sedikit kecewa jauh2 dr Temanggung, liat di IG close jam 8, sampe lokasi jam set 7 kurang tp diinfo satpam close order jam 7"
Roni harjanto,3 tahun lalu,Tempat nya nyaman
Millard 2014,3 tahun lalu,
yuki aslam,3 tahun lalu,
gaby aine,3 tahun lalu,"Salah satu outlet sushi yg gausah masuk mall, jadi enak"
Putra Madiun,3 tahun lalu,makanan dan minuman nya menyehatkan dan suegarrrr guys 👍🏻 …
Iswanto Amperawan,3 tahun lalu,
octav andy,3 tahun lalu,
citra tunjung sari,3 tahun lalu,
OKi Ritawati Sodikun Kromowijoyo,3 tahun lalu,"Rasa kelas atas, harga menengah cenderung murah. Recommended banget, jangan ragu deh."
Evi Rumini,3 tahun lalu,
Haidar Abdurrahman,3 tahun lalu,
Choi Pan Pontianak,3 tahun lalu,
siphe 67,3 tahun lalu,Salmonnya mantap
bramantya andyatma,3 tahun lalu,
Reza Nova Cahyono,3 tahun lalu,"Salmon, Salad, Sushi semuanya Segar, Renyah dan Lezat. Satu hal yang sedikit lebih tinggi dibandingkan toko sushi lokal."
Benny Santoso,3 tahun lalu,
Rossy Sari,3 tahun lalu,
Koko Pageralam,3 tahun lalu,
Nadia Naning,3 tahun lalu,
Agus Sukma,3 tahun lalu,Nyaman tempatnya
Bellino Chirurgo,3 tahun lalu,Kuliner Jepang yang selalu terjaga cita rasanya. Staf pramusaji ramah dan selalu siap membantu Anda. Protokol kesehatan diterapkan dengan baik di restoran ini.
star alekha,3 tahun lalu,Masa pandemi jd dibatasin waktu makannya 😁 tp keseluruhan enak makanannya kt org Jawa ono rego ono roso …
Slamet Basuki Rachmat,3 tahun lalu,penggemar sushi wajib kesini
Dian Widayanti,3 tahun lalu,Rata-rata..dibandingkan dengan tempat lain yang saya kunjungi di kota-kota besar..tetapi di yogya dianggap yang terbaik..jika ada tempat sashimi yang lebih baik saya akan pergi ke tempat itu.. tetapi saya tidak punya pilihan dan saya suka sashimi jadi saya pergi ke tempat ini
Agus Udiono,3 tahun lalu,
fatkhur rahman,3 tahun lalu,
Tri Hermawan,3 tahun lalu,
Shavira Alif kenzhie,3 tahun lalu,Favorit bgt!!!! Enak bgt!!!!
saraswati agung budiyanto,3 tahun lalu,
Ahmad Zaki,3 tahun lalu,Sesuai. Itu rego lubang itu
Hakim Satyadi,3 tahun lalu,
Adimas Trisantoso,3 tahun lalu,
Deta,3 tahun lalu,Enak
JJ KWON,3 tahun lalu,"Rasanya enak bersih dan enak, banyak menunggu tapi tetap 15 - 20 menit oke."
Fitria Maulina,3 tahun lalu,
tika ardiana,3 tahun lalu,
Riffa'i Rifan Darmawan,3 tahun lalu,
Joshua B'joes,3 tahun lalu,Sempurna
Fitria Tyaswari,3 tahun lalu,
R A,3 tahun lalu,enak nagih
luna bella,3 tahun lalu,"Pemesanan hanya take away dan online, btw cepet pelayannannya meskipun antrinya banyak👍👍 …"
Pipin “Pippintz” Pinasthi,3 tahun lalu,Sushi andalan se jogja. Sayang PPKM cuma bisa take away. Klo kesni pas hari H ulang tahun.bakal dapat sushi gratis
Vicha Amanda,3 tahun lalu,
Tri Joko Pitoyo,3 tahun lalu,Mantab
Dwi Yanto,3 tahun lalu,
Vincent Na,3 tahun lalu,Makanan yang sangat lezat. Tempat mewah. Staf yang ramah. Area parkir luas.
Heri Turner,3 tahun lalu,"Pas PPKM bisa pesen via WA, ambil dilokasi pas udah siap. System drive thru yang mendukung prokes. Good."
Ari Satria Putra,3 tahun lalu,
Jallu Gembong,3 tahun lalu,Di handle sama orang-orang profesional dan rasanya otentik
Daisy Ira,3 tahun lalu,
Eko Sulistio,3 tahun lalu,"Satu jam nunggu, saya tanya kasir pesanan saya sudah jadi belum, dibilang belum, ternyata sudah jadi lama ditaruh dibelakang kasir, Ya Allah, nunggu lama sia sia"
dwi yuniharto,3 tahun lalu,Eunak sekali brooo
Mukhamad Latif,3 tahun lalu,
Maria Zulfikar,3 tahun lalu,"Staf yang ramah, anak-anak juga ramah dan sushi luar biasa"
Daru Raharjo,3 tahun lalu,"garis yang sangat panjang, tapi tidak apa-apa. Ini bukan nasi goreng"
Ifrianto 1984,3 tahun lalu,
Sintha Rh,3 tahun lalu,Tempat sushi terbaik di Jogja
Ecko Conda,3 tahun lalu,Hight class n keren
Ghina Musthafa,3 tahun lalu,"Biasanya pergi ke tempat makan sushi. Karena pembatasan sosial saat ini, makan di tempat tidak diperbolehkan. Hanya ambil/ambil dan antar. Saya mencoba opsi penjemputan, stafnya ramah dan responsnya cepat, pesanan saya selesai tepat waktu."
Ade Pratama,3 tahun lalu,"Pegawai tidak ramah, saya beli minuman bukan mau minta"
Shafira Annisa,3 tahun lalu,
Vigi Verindo,3 tahun lalu,sepertinya pelanggan online saya suka jajan disini namun jarak yang ditempuh jauh-jauh 😂 …
Andhi Sukuri,3 tahun lalu,
Salsabila Aristiani,3 tahun lalu,
Aji Danang,3 tahun lalu,Karyawan yg anter2 kek taiiii
Ign David,3 tahun lalu,Jepang sekali
Jhonny Pamungkas,3 tahun lalu,
Berbudi Putro,3 tahun lalu,"Tempat nyaman, tapi tidak untuk ojol yang membelikan makanan untuk customer nya"
Andri Anto,3 tahun lalu,sushi
Kaka Wardhana,3 tahun lalu,Enak semua. Titik.
ahmad waskitho aji,3 tahun lalu,Nyoshhh sekaliii sweeedapppp
H Ispriyanto,3 tahun lalu,
ray WM,3 tahun lalu,Enak2👍 …
Jovinca Claudia (Vinca),3 tahun lalu,Best place to get sushi in the whole town. Pelayanan nya sangat baik dan ramah. Sushi nya juga enak dand fresh banget. Emang agak pricy tapi overall tempat terbaik and plg worth it buat makan sushi!
Robby West,3 tahun lalu,
JAS Time (ayum),3 tahun lalu,"Ppkm 2 , pelayanan terbaru dari sushi tei
Pick up parking point , tidak perlu turun mobil , pesan via WhatsApp , bayar bisa transfer/cash, waktu pengambilan ditentukan sendiri …"
MR. BROWN,3 tahun lalu,Ruang tgg gojek sangatlah nyaman
NOX,3 tahun lalu,
Trindo Junaedy,3 tahun lalu,Biasa aja
Your Star,3 tahun lalu,
Julius Bagas Triatmoko,3 tahun lalu,Tempat makan sushi favorit!
HRN,3 tahun lalu,
JK,3 tahun lalu,Sushi paling segar di kota
Annisa Budiarti,3 tahun lalu,
Elisabeth Y,3 tahun lalu,Tempat favorite. Pilihan sushie bnyak
Om kim,3 tahun lalu,Tempat yg nyaman....  Banyak pilihan yg suka sushi
Yohanes Rama (Rama),3 tahun lalu,sashimi terbaik yang pernah saya alami
antonius jeffry,3 tahun lalu,
Feb tube,3 tahun lalu,Tidak memanusiakan driver ojol.. parah...
Nicolaus Bagaskara,3 tahun lalu,
Diana Rahmawati Hanafi,3 tahun lalu,Tidak menikmati karena tidak suka sushi
Ruddy Manasse,3 tahun lalu,Enak
Shavira Novi Safitri,3 tahun lalu,Tempat favorit makan sushi
Anggun Dwi Marcella,3 tahun lalu,"Enak di ruang VIP lumayan sepi, pokoknya sblm masuk jgn lupa cuci tgn dan cek suhu, wajib yaa!! Saling respect jaga satu sama lain dengan costumer juga pelayan disana. Then, untuk main coursenya lengkap dan enak² semua kok!, tapi.. aku …"
Dinarto Agung Raharjo,3 tahun lalu,
Alif Ghafirin,3 tahun lalu,
Valentino Yovenky,3 tahun lalu,
Ardi Satya,3 tahun lalu,"Sushinya enak bgt
Pelayanannya bener bener ramah
Tempatnya bersih …"
osvaldo simorangkir,3 tahun lalu,
Ahmad Ismail Hamdani,3 tahun lalu,Sajian Japanese food yang lengkap mantabs dan recomended untuk dinner bersama keluarga & relasi ...
Fitrahmadhany KM,3 tahun lalu,
endah wahyu,3 tahun lalu,Sushi terenak menurut saya
Ida Dewi Riyani,3 tahun lalu,Selalu enak
Yudo Krisnawan,3 tahun lalu,Oke
Antonius Gunawan Wibisono,3 tahun lalu,Enak murah
Muhammad Yusuf musabbiq,3 tahun lalu,"Suasana yang menyenangkan, cobalah sekali saja dan mungkin tidak akan pernah kembali lagi"
Karina Solihin,3 tahun lalu,
Anton Partono,3 tahun lalu,Bagus
pinasti pramesti,3 tahun lalu,
Mas Dwi,3 tahun lalu,Mantappp....
Desy Kristanti,3 tahun lalu,
HENNY EKO ATMOJO,3 tahun lalu,"Salah 1 resto fav anak2 ...selalu Fresh .

Bisa reservasi minimal utk 6pax ."
Abdul_azis Syaf,3 tahun lalu,Makanan khas Jepang dengan rasa tidak aneh dilidah kita
Ranu Wijaya Channel,3 tahun lalu,
Bella Na,3 tahun lalu,Tempat favorit makan sushi di jogjaa. Walopun sushitei ada dmn2 tp tetep paling cocok seleranya ya disinii
iva Nurul Kholifah,3 tahun lalu,
Shobi Khan,3 tahun lalu,Sushi dan kare yang lezat.. sepadan!
Adi Prasetyo,3 tahun lalu,
Stella Novian,3 tahun lalu,"Rasa makanan sesuai harga dan ga mengecewakan pol.. mau makanan menu ada, yg muter-muter juga ada.. tempatnya bersih pol, nuansa nya enak banget. Rame tempatnyaa..klu bisa reservasi dulu lebih enak sih .. pelayanannya juga oke banget. Pokoke joss"
Amarendra Padmatantri,3 tahun lalu,sushinya enak dan nyaman tempatnnya
Yuni Fatmawati,3 tahun lalu,Pelayannya matep sih. Makananya seperti sushi tei pada umumnya juga
Slamet Riyanto,3 tahun lalu,
Moh Erfan Hanindyo,3 tahun lalu,
Khaerul Anam,3 tahun lalu,"Salah satu restoran sushi terbaik di Yogya.
Varian sushinya sangat beragam dan rasanya sangat terjamin, orang yang tidak suka sushi ke sini jadi doyan sushi :D …"
Adjie Dewa,3 tahun lalu,"Tempatnya enak, makanannya enak, harga menengah atas"
Arfi Suseno,3 tahun lalu,
Tascha sabrie,3 tahun lalu,tempat makan sushi terfavorite pokoknya!
Sulis Tiyo,3 tahun lalu,Tempat nyaman. Makanan enak.
Antonius Heveadi,3 tahun lalu,
Tiara L Daradima,3 tahun lalu,
Aska Iswarani,3 tahun lalu,
wanda puspasari,3 tahun lalu,
hendi khoirurijal,3 tahun lalu,Kesukaan istriku
Dok_Spy Gembuls,3 tahun lalu,Shasiminya g segar
Deyna Pahlevi,3 tahun lalu,Mahal
Veri Nurlita,3 tahun lalu,Makanan enak 👍 …
Andhika Novianda,3 tahun lalu,
Siva Khalifah,3 tahun lalu,"Resto jepang yang sngat cocok dgn lidah org indonesia .
Rasanya enak dan harga kelas menengah sih, enak , lezat, dan halal .
Parkiran oke , tmpat bersih dan nyaman .."
Risma Lucia,3 tahun lalu,Masih siipp tapi tadi banyak yg kosong..
Eko Iswanto,3 tahun lalu,
dieta singarimbun,3 tahun lalu,Petualangan makan yang tidak pernah mengecewakan. Pertahankan tim kerja mereka yang baik.
lingga vidiana,3 tahun lalu,"sushi tei ini tempat makan sushi favorit, meskipun harganya mihil tapi rasanya memang jagoan...rasa sushinya numero uno"
im rated you !!,3 tahun lalu,"Tempat kedua paling nyebelin setelah sushi tei TSM, semua sudah di share di tripadvisor. Intinya mengecewakan, semua serba slowrespond. Dan berbeda dr pelayanan sushi tei lainnya, saya sarankan jangan makan disini disaat anda lapar dan pengen di layani segera."
hijrahqul Fahrudin,3 tahun lalu,"Tempat yang bagus untuk makan sushi. Mereka menerapkan protokol kesehatan secara ketat, hal ini baik untuk kondisi saat ini."
Incess Ayu,3 tahun lalu,
andy wiliyana,3 tahun lalu,"Tempat nya cozy bgt n yg jelas sushi nya mantab surantap dah, tmpt favorite buat sy dan keluarga klo makan sushi 🍣 …"
Fenti Triwulandari,3 tahun lalu,
Gotama NB,3 tahun lalu,Mantap
Enang Prasetyawan,3 tahun lalu,
evirejeki channel,3 tahun lalu,
Yudha Hartanto,3 tahun lalu,"Satu-satunya tempat Anda bisa makan sushi enak di Jogja (terutama untuk nigiri, gunkan, dan sashimi). Sebagian besar restoran saat ini menawarkan makanan Jepang modern, jadi agak sulit menemukan rasa aslinya. …"
Dyki Jatnika,3 tahun lalu,"niat hati ingin makan enak disini, dan saya pun memberanikan diri sebagai visitor utk mencoba sushi tei, di luar area bdg. …"
ai alhakim,3 tahun lalu,
Lilin Isnain,3 tahun lalu,
tegar harputra Raya,3 tahun lalu,
sLepeh,3 tahun lalu,cocok 👍🏼 …
Revi Djanegara,3 tahun lalu,
DN4 nanda,3 tahun lalu,Tempat nyaman dan seni pahatan di dinding membuat spesial
triyogo djoko prasetyo,3 tahun lalu,"Ramen nya top, enak banget"
marhencomal,3 tahun lalu,"Cuman nganter anak2, untuk saya ambil es krimnya aja.."
dennis maulana,3 tahun lalu,
Kartika Rizki,3 tahun lalu,"Pelayanannya bagus, worth it dan enak, mantap pokoknya"
sabrina adani halawati putri,3 tahun lalu,
Nur Aini Widiastuti,3 tahun lalu,
Talitha Ulima,3 tahun lalu,
lathifa dinnar,3 tahun lalu,Rasanya sedikit berbeda dibandingkan di Jakarta.
Putri Rezqita,3 tahun lalu,Salmon mentai terfavorit. Tapi kenapa selalu lebih enak sutei Jkt drpd Yk
Baiq Indira Septari,3 tahun lalu,
Noel Hasintongan,3 tahun lalu,"Oke just oke..

Gak tahu kenapa sutei di Jogja gak seenak di Jakarta. …"
Vina Artika Putri,3 tahun lalu,Manteup
Hanindra Nugraha,3 tahun lalu,"Tempat makan favorit istri. Tempatnya cozy jika berbanyak bisa ditempatkan di ruangan private sehingga tidak bercampur dengan orang lain.
Makanan makannya sama dengan outlet outlet yang ada di jakarta"
Supriyadi,3 tahun lalu,Pelayanan prima dengan menu sushi terbaik
Arifatun Milah,3 tahun lalu,Mereka memiliki program pencegahan terhadap COVID-19: memeriksa suhu dan juga memberitahukan setiap pelanggan untuk menggunakan hand sanitizer terlebih dahulu sebelum memasuki area restoran. …
gun wib,3 tahun lalu,
Dyah Pradipta,3 tahun lalu,
Fawwaz Azzam Maizanno Agung,3 tahun lalu,Fwz ikut kelas memasak
Franz Sidjabat,3 tahun lalu,"Seperti yang diketahui, Sushi Tei adalah jaringan restoran yang menyediakan sushi (dan makanan jepang lainnya). Lokasinya cukup strategis karena bukan merupakan bagian dari mall. Sehingga kalau orang yang mau makan sushi memang ke tempat …"
Andika Kristiawan,3 tahun lalu,
Daniel Gunawan,3 tahun lalu,
Athallah Acyuta Prama,3 tahun lalu,
Brian Swahadana,3 tahun lalu,
Yuni Hidayatun,3 tahun lalu,
ambar megasari,3 tahun lalu,"Enak banget, harga ga bohong kan. Hahaha. Cozy place. Prokesnya ok. Did depan udah disediain automatic hand sanitizer."
Alya Alfa,3 tahun lalu,
Yodhi Indrawan Mulyo,3 tahun lalu,Selalu sediakan sushi yang enak
luluk shoviana,3 tahun lalu,Bukan untuk penggemar makanan non Jepang
Aryandha Bhadranaya,3 tahun lalu,
afifah husnun,3 tahun lalu,Sashimi salmon & lobster roll renyah adalah yang terbaik di antara semuanya
Nur Ichwan Armi Maliki,3 tahun lalu,"Pertama kali ke sini, sangat terkejut 😂. Karna ga pernah pesen dan makan2an unik seperti ini. Karna pertama kali akhirnya saya coba untuk pesan menu yg paket komplit yaitu kirishima, dango dan takoyaki chesee. Saya kira nunggu lama, …"
Purwadi Ipong,3 tahun lalu,Nyaman
Fraisti Fina,3 tahun lalu,
Anastasia Nita Indriyani,3 tahun lalu,Favorit sushi
Radu Brebenar,3 tahun lalu,Makanan yang sangat segar dan enak. Tempat bersih juga.
Ewinda Adlina Hashifa,3 tahun lalu,"Pelayanan oke dan makanan super enak, terutama salmonnya ngga amis"
IHP ST,3 tahun lalu,Taste ok banget...
Bunga Amelia,3 tahun lalu,Worth it sih utk harga segitu. Salmonnya beda dr yg lain bahkan di mall sekalipun tetep lbh enak disini. Melted dimulut dan fatty. Enak bgt  tmpt jg nyaman
Sri Kristina,3 tahun lalu,
Ainun Ulum,3 tahun lalu,Selalu mantab
petra artha,3 tahun lalu,
Kartika Nova,3 tahun lalu,
Silvia Putra,3 tahun lalu,Istirahat Jepang favorit kami ❤❤
Adriansyah Zamzani,3 tahun lalu,
Salsabilla Rizki Ramadhani,3 tahun lalu,
Fitrian Arista Putra,3 tahun lalu,"waiting room hanya untuk pelanggan terhormat.... sampah sekali, menunggu diusir suruh keluar"
Jeffrey Gunawan,3 tahun lalu,
fauzie helmy,3 tahun lalu,
Rifda Annelies,3 tahun lalu,
Yovi Amanda,3 tahun lalu,Mahal untuk makanan yang tidak begitu enak.
Ivone Feranika,3 tahun lalu,Oke
Risang Suprastyono,3 tahun lalu,"Enak, nyaman."
eguh leksono,3 tahun lalu,penuh cita rasa
CA DH,3 tahun lalu,"Salmonnya fresh, pelayanan nya daebak, badabest 🥰 …"
Ratih Melati,3 tahun lalu,Sushi terbaik di kota?
Herjuno Maharsitama,3 tahun lalu,
Yusup Setyawan,3 tahun lalu,
Anis Dewanty,3 tahun lalu,"Gyuniku cheese maki, salmon crispy aburi 🤤 …"
